Vendor,Vendor type,Contacto preferente,Lugar,Numero telefonico ,FACTURA?,RFC
Cerrajero,Chica,DON JOSE,Cerca de tule,449 142 6868,SI,SOMS741103LG6
Key Depot,Grande,,Sucursales en todo Ags ,449 915 5300,SI,E180329550
Cerrajería El Patrón,Chica,,Cerca de Tule,449898012,,
Cerrajerría H.P.,Chica,,Jesús María,4491568069,,
Cerrajería García,Chica,,Jesús María,4491030507,,
Cerrajería Don Guño,Chica,,Trojes de Alonso,4491283220,,
Cerrajería CREA,Chica,,Cerca de Punta,4492776103,,
Cerrajería Salazar,Chica,,Cerca de Punta,4495546267,,
