Vendor,Vendor type,Contacto preferente,Lugar,Numero telefonico ,FACTURA?,RFC
INTIMA HOGAR ,Grande,"""POLLO""",PLAZA VESTIR,4492239304,si,BPA010807EQ9
CANTIA ,Grande,,SALIDA CALVILLO,449 590 4922,si,CAN060117PP1
BLANCOS MIRIRAM,Mediana,,SUR,9710114,si,GORA490828A3
DORMIMUNDO,Grande,,los bosques ,4494274291,si,DDO741228E12
BLANCOS PILLY ,Grande,,Mercado Agropecuario,4495815314,si,BPI930430LM1
VIANNEY,Grande,,Galerias aguascalientes ,4491063134,si,VTH981105F90
